教育程度別,總計人數,竊盜類小計,重大竊盜,普通竊盜,汽車竊盜,機車竊盜,贓物,賭博,傷害類小計,重傷害,一般傷害,詐欺背信類小計,詐欺,背信,妨害自由,殺人類小計,故意殺人,過失殺人,駕駛過失,妨害婚姻及家庭,妨害風化,妨害性自主罪類小計,強制性交,共同強制性交,對幼性交,性交猥褻,內亂,恐嚇取財類小計,重大恐嚇取財,一般恐嚇取財,擄人勒贖,侵占,偽造文書印文,違反毒品危害防制條例類小計,第一級毒品,第二級毒品,第三級毒品,第四級毒品,其他毒品,毀棄損壞,妨害公務,違反著作權法,違反商標法,妨害電腦使用,強盜搶奪類小計,強盜,搶奪,竊佔,偽造有價證券,妨害秩序,違反藥事法,違反國家總動員法,違反森林法,公共危險,侵害墳墓屍體,重利,妨害名譽,違反選罷法,妨害祕密,遺棄,違反貪污治罪條例,懲治走私條例,妨害兵役,偽造貨幣,偽造度量衡,偽證,誣告,湮滅證據,瀆職,脫逃,藏匿頂替,違反槍砲彈藥刀械管制條例,違反就業服務法,其他
總計,12927,1262,0,1216,3,43,2,438,972,0,972,1851,1686,165,793,6,1,5,1009,11,110,166,2,0,7,157,0,25,0,25,0,715,259,1547,186,1230,126,2,3,345,37,17,32,51,12,6,6,40,1,180,3,0,0,1102,0,17,748,20,45,11,0,0,0,1,0,3,47,2,0,0,0,63,0,984
男性,9969,878,0,835,3,40,2,319,767,0,767,1378,1260,118,648,3,1,2,779,5,70,162,2,0,7,153,0,22,0,22,0,458,159,1371,165,1084,118,1,3,275,31,10,18,28,11,6,5,32,0,173,1,0,0,960,0,16,493,13,33,6,0,0,0,0,0,2,31,2,0,0,0,54,0,759
女性,2958,384,0,381,0,3,0,119,205,0,205,473,426,47,145,3,0,3,230,6,40,4,0,0,0,4,0,3,0,3,0,257,100,176,21,146,8,1,0,70,6,7,14,23,1,0,1,8,1,7,2,0,0,142,0,1,255,7,12,5,0,0,0,1,0,1,16,0,0,0,0,9,0,225
不識字類,8,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
男性,4,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
女性,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
自修類,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
男性,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
女性,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國小類,246,84,0,83,0,1,0,9,14,0,14,6,6,0,20,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,43,1,5,2,2,1,0,0,10,1,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
男性,148,53,0,52,0,1,0,2,6,0,6,3,3,0,12,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,19,0,5,2,2,1,0,0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6
女性,98,31,0,31,0,0,0,7,8,0,8,3,3,0,8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
國中類,723,102,0,102,0,0,0,17,63,0,63,82,78,4,55,2,0,2,60,0,1,11,1,0,2,8,0,3,0,3,0,56,7,113,16,82,13,1,1,21,1,0,0,1,1,0,1,5,0,7,0,0,0,28,0,0,30,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,46
男性,570,76,0,76,0,0,0,10,49,0,49,67,64,3,50,1,0,1,46,0,1,10,1,0,2,7,0,2,0,2,0,35,5,98,14,70,13,0,1,15,1,0,0,1,1,0,1,5,0,7,0,0,0,27,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,39
女性,153,26,0,26,0,0,0,7,14,0,14,15,14,1,5,1,0,1,14,0,0,1,0,0,0,1,0,1,0,1,0,21,2,15,2,12,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
高中或高職類,6998,700,0,664,3,33,1,249,458,0,458,1103,1022,81,416,3,1,2,434,4,62,66,1,0,2,63,0,20,0,20,0,356,158,1035,119,828,87,0,1,160,23,8,23,27,8,6,2,22,0,128,2,0,0,525,0,11,365,17,20,5,0,0,0,1,0,2,25,1,0,0,0,35,0,525
男性,5530,488,0,454,3,31,1,182,374,0,374,841,784,57,353,1,1,0,359,3,41,64,1,0,2,61,0,19,0,19,0,241,97,916,105,730,80,0,1,134,18,3,13,13,8,6,2,16,0,123,1,0,0,473,0,10,244,12,18,4,0,0,0,0,0,1,16,1,0,0,0,29,0,413
女性,1468,212,0,210,0,2,0,67,84,0,84,262,238,24,63,2,0,2,75,1,21,2,0,0,0,2,0,1,0,1,0,115,61,119,14,98,7,0,0,26,5,5,10,14,0,0,0,6,0,5,1,0,0,52,0,1,121,5,2,1,0,0,0,1,0,1,9,0,0,0,0,6,0,112
大專類,3432,208,0,200,0,8,1,145,352,0,352,403,334,69,219,0,0,0,374,5,32,71,0,0,3,68,0,2,0,2,0,184,70,211,16,179,15,0,1,120,8,9,8,19,1,0,1,6,1,36,1,0,0,341,0,3,267,3,23,5,0,0,0,0,0,1,17,1,0,0,0,4,0,281
男性,2524,143,0,136,0,7,1,109,276,0,276,278,231,47,166,0,0,0,265,1,20,70,0,0,3,67,0,1,0,1,0,119,44,185,15,155,14,0,1,91,8,7,4,13,1,0,1,5,0,34,0,0,0,270,0,3,172,1,14,1,0,0,0,0,0,1,13,1,0,0,0,3,0,204
女性,908,65,0,64,0,1,0,36,76,0,76,125,103,22,53,0,0,0,109,4,12,1,0,0,0,1,0,1,0,1,0,65,26,26,1,24,1,0,0,29,0,2,4,6,0,0,0,1,1,2,1,0,0,71,0,0,95,2,9,4,0,0,0,0,0,0,4,0,0,0,0,1,0,77
研究所類,96,8,0,8,0,0,0,1,11,0,11,2,1,1,10,0,0,0,18,0,0,4,0,0,0,4,0,0,0,0,0,7,7,5,1,3,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
男性,71,5,0,5,0,0,0,1,8,0,8,2,1,1,10,0,0,0,13,0,0,4,0,0,0,4,0,0,0,0,0,4,4,5,1,3,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
女性,25,3,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
其他或不詳類,1420,158,0,157,0,1,0,17,73,0,73,255,245,10,71,1,0,1,102,2,14,13,0,0,0,13,0,0,0,0,0,66,16,178,32,136,10,0,0,29,4,0,1,4,2,0,2,5,0,8,0,0,0,194,0,3,69,0,1,0,0,0,0,0,0,0,1,0,0,0,0,14,0,119
男性,1121,113,0,112,0,1,0,15,53,0,53,187,177,10,56,1,0,1,82,1,7,13,0,0,0,13,0,0,0,0,0,39,9,162,28,124,10,0,0,23,3,0,1,1,1,0,1,5,0,8,0,0,0,178,0,3,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,93
女性,299,45,0,45,0,0,0,2,20,0,20,68,68,0,15,0,0,0,20,1,7,0,0,0,0,0,0,0,0,0,0,27,7,16,4,12,0,0,0,6,1,0,0,3,1,0,1,0,0,0,0,0,0,16,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,26
