學年度,學校代碼,學校名稱,縣市名稱,中文圖書收藏冊數(冊)-總類,中文圖書收藏冊數(冊)-哲學類,中文圖書收藏冊數(冊)-宗教類,中文圖書收藏冊數(冊)-科學類,中文圖書收藏冊數(冊)-應用科學類,中文圖書收藏冊數(冊)-社會科學類,中文圖書收藏冊數(冊)-史地類,中文圖書收藏冊數(冊)-語言文學類,中文圖書收藏冊數(冊)-藝術類,外文圖書收藏冊數(冊),期刊合訂本(未以圖書編目)(冊),線上資料庫(種),光碟及其他類型資料庫(種),電子期刊(種),電子書(種),視聽資料(件),圖書閱覽座位數(個),全年圖書(含視聽資料及其他館藏)借閱人次(人次),全年圖書(含視聽資料及其他館藏)借閱冊次(冊次),全年線上及光碟資料庫(含電子書及電子期刊)檢索(人次),報紙(種),中.日文期刊(種),西文期刊(種)
112,1,國立政治大學,30 臺北市,311230,47882,35911,29926,71822,287289,203496,191526,17956,600053,283296,332,9,88358,906280,26745,5055,134730,404189,11471995,69,987,565
112,2,國立清華大學,18 新竹市,87680,45664,25873,71363,93279,202177,130888,206212,67855,443740,377803,383,0,194946,1073933,147326,3301,84509,221533,5919076,9,1927,591
112,3,國立臺灣大學,30 臺北市,233035,62208,65491,81380,218598,415424,287404,271302,75846,1890980,896865,639,0,79629,3547895,194743,3984,117958,480699,13278371,17,1686,714
112,4,國立臺灣師範大學,30 臺北市,137779,70747,25280,58608,78988,250245,160116,224196,73706,503641,127340,288,0,124257,1659022,111216,1380,42983,112455,5924664,0,366,1337
112,5,國立成功大學,21 臺南市,199683,38966,22680,38620,106857,120254,105638,129598,41784,575629,449080,600,8,118003,1044763,58542,2270,37007,279167,7003643,13,1314,96
112,6,國立中興大學,19 臺中市,110489,28643,13092,54565,101577,111297,73577,106018,25902,295697,154959,438,0,64405,1582531,70727,2047,44322,320111,4256235,10,902,75
112,7,國立陽明交通大學,18 新竹市,134902,34028,13446,62884,121495,110455,59910,113563,51029,447115,240601,262,0,217458,1162703,123541,2241,38246,80902,11152765,13,766,85
112,8,國立中央大學,03 桃園市,116208,27153,16029,24490,44426,79871,60947,97442,30238,237749,150054,441,0,94853,3167142,45559,1485,29076,174407,1516941,9,709,47
112,9,國立中山大學,50 高雄市,48682,29814,14245,38460,68074,93599,62100,105915,27353,345923,135868,196,37,141151,1241445,27213,1087,13709,68447,1299131,9,301,57
112,12,國立臺灣海洋大學,17 基隆市,45176,15807,3987,20126,44725,45297,23205,40441,11658,91080,80015,234,8,29928,539425,8808,566,8915,30190,1051758,0,439,60
112,13,國立中正大學,10 嘉義縣,103075,33243,22207,31227,62235,132127,80471,115163,41120,335997,135755,234,0,107275,515103,32073,1606,23719,72371,1345446,11,681,234
112,14,國立高雄師範大學,50 高雄市,83841,20456,6763,17462,23661,74913,40731,73684,25488,132460,88926,53,0,90071,604973,27463,1422,12108,119211,606587,4,432,123
112,15,國立彰化師範大學,07 彰化縣,53871,20100,7935,22875,42110,83437,32281,59123,16867,96433,50815,69,0,75156,296190,36388,1067,22042,66328,122634,4,301,7
112,17,國立臺北大學,01 新北市,44612,11476,5544,7694,20483,64091,30903,46413,10390,175800,41425,147,6,55681,1272182,8116,970,30393,69872,1262548,6,168,39
112,18,國立嘉義大學,20 嘉義市,41302,25603,10913,53030,90459,145368,55351,101136,34604,153024,56863,298,1,60524,849645,27518,1290,18182,56398,744730,9,684,80
112,19,國立高雄大學,50 高雄市,17181,19318,7277,18135,47491,61963,25195,65907,24796,59196,36396,102,19,14883,495984,19186,1038,14049,34746,334070,8,488,83
112,20,國立東華大學,15 花蓮縣,78383,56744,27068,57311,103068,221283,119264,204457,74710,223491,88104,306,33,138138,1217724,99087,1053,25416,188487,354066,8,3159,2626
112,21,國立暨南國際大學,08 南投縣,40964,23723,12780,11881,26745,83501,71199,84405,17520,137099,75542,309,0,72566,207694,27031,1403,21657,60620,316677,0,138,30
112,22,國立臺灣科技大學,30 臺北市,66556,20125,4517,24529,52967,38023,25323,54820,17792,97236,65536,270,3,85007,879965,25299,701,42766,76978,4181397,7,452,2356
